id,Master_Index_Number,Theater,MsnDate,Day,Month,Year,NAF,Country_Flying_Mission,TGT_Country_Code,Country_Name,Location_Name,Target_Type_Description,Target_ID_Code,TGT_Industry_Code,Target_Industry_Description,Source_Lat,Source_Lon,Lat,Lon,Unit_ID,MDS,Aircraft_name,Msn_Type,Target_Priority,Target_priority_Explanation,Attacking_AC,Altitude,Altitude_Feet,Number_of_HE,Type_of_HE,lbs_HE,Tons_of_HE,Number_of_IC,Type_of_IC,lbs_IC,Tons_of_IC,Number_of_Frag,Type_of_FRAG,lbs_Frag,Tons_of_Frag,Total_lbs,TOTAL_TONS,Source_Launch_Base,Source_Launch_Base_Country,Source_Launch_Base_Lat,Source_Launch_Base_Long,Sortie_Dupe,Total_AC_Lost,Total_AC_Damaged,Airborne_AC,Number_of_AC_Dropping_Bombs,Time_over_Target,Sighting_Method_Code,Sighting_Explanation,BDA,Speed,Callsign,Rounds_Ammo,#_Escort_Planes,Type_of_Escort_Planes,Spares_Return_AC,WX_Fail_AC,Mech_Fail_AC,Misc_Fail_AC,Other_Fail_AC,TONS_LOST__JETTISONED,GE_ICON_Color,GE_Color_Code,GE_icon,KML_Date,NAF_Color_Code,Target_Comment,Mission_Comments,Source,Database_Edit_Comments,Speed__MPH_
27106,26530,PTO,00:00.0,18,12,1943,7 AF,USA,NULL,MARSHALL ISLANDS,MILLI ISLAND ,STORES,NULL,NULL,NULL,505,17144,5.083333333,171.7333333,531 S,A24,A24,1,1,NULL,12,15,1500,24,500 lb GP (GP-M43/M64),NULL,6,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,fffcedbb,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffff36e7,NULL,NULL,NULL,NULL,NULL
28053,26043,PTO,00:00.0,21,12,1943,7 AF,USA,NULL,MARSHALL ISLANDS,EMIDJ ISLAND ,SHIPPING,NULL,NULL,NULL,600,16944,6,169.7333333,531 S,A24,A24,1,1,NULL,12,16,1600,24,500 lb GP (GP-M43/M64),NULL,6,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,fffcedbb,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffff36e7,NULL,NULL,NULL,NULL,NULL
28326,26435,PTO,00:00.0,22,12,1943,7 AF,USA,NULL,MARSHALL ISLANDS,MILLI ISLAND ,SHIPPING,NULL,NULL,NULL,605,17144,6.083333333,171.7333333,531 S,A24,A24,1,1,NULL,11,15,1500,32,500 lb GP (GP-M43/M64),NULL,8,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,fffcedbb,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffff36e7,NULL,NULL,NULL,NULL,NULL
28555,26494,PTO,00:00.0,23,12,1943,7 AF,USA,NULL,MARSHALL ISLANDS,MILLI ISLAND ,GROUND INSTALLATION ,NULL,NULL,NULL,605,17144,6.083333333,171.7333333,531 S,A24,A24,1,1,NULL,10,15,1500,32,500 lb GP (GP-M43/M64),NULL,8,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,fffcedbb,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffff36e7,NULL,NULL,NULL,NULL,NULL
29159,26495,PTO,00:00.0,25,12,1943,7 AF,USA,NULL,MARSHALL ISLANDS,MILLI ISLAND ,GROUND INSTALLATION ,NULL,NULL,NULL,605,17144,6.083333333,171.7333333,531 S,A24,A24,1,1,NULL,10,15,1500,32,500 lb GP (GP-M43/M64),NULL,8,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,fffcedbb,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffff36e7,NULL,NULL,NULL,NULL,NULL
29489,26496,PTO,00:00.0,28,12,1943,7 AF,USA,NULL,MARSHALL ISLANDS,MILLI ISLAND ,GROUND INSTALLATION ,NULL,NULL,NULL,605,17144,6.083333333,171.7333333,531 S,A24,A24,1,1,NULL,18,80,8000,36,500 lb GP (GP-M43/M64),NULL,9,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,fffcedbb,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffff36e7,NULL,NULL,NULL,NULL,NULL
29500,26497,PTO,00:00.0,28,12,1943,7 AF,USA,NULL,MARSHALL ISLANDS,MILLI ISLAND ,GROUND INSTALLATION ,NULL,NULL,NULL,605,17144,6.083333333,171.7333333,531 S,A24,A24,1,1,NULL,NULL,NULL,NULL,20,100 lb GP (GP-M30),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,fffcedbb,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffff36e7,NULL,NULL,NULL,NULL,NULL
30022,26498,PTO,00:00.0,30,12,1943,7 AF,USA,NULL,MARSHALL ISLANDS,MILLI ISLAND ,GROUND INSTALLATION ,NULL,NULL,NULL,605,17144,6.083333333,171.7333333,531 S,A24,A24,1,1,NULL,25,20,2000,52,500 lb GP (GP-M43/M64),NULL,13,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,fffcedbb,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffff36e7,NULL,NULL,NULL,NULL,NULL
30030,26499,PTO,00:00.0,30,12,1943,7 AF,USA,NULL,MARSHALL ISLANDS,MILLI ISLAND ,GROUND INSTALLATION ,NULL,NULL,NULL,605,17144,6.083333333,171.7333333,531 S,A24,A24,1,1,NULL,NULL,NULL,NULL,20,100 lb GP (GP-M30),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,fffcedbb,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffff36e7,NULL,NULL,NULL,NULL,NULL
30996,26501,PTO,00:00.0,3,1,1944,7 AF,USA,NULL,MARSHALL ISLANDS,MILLI ISLAND ,GROUND INSTALLATION ,NULL,NULL,NULL,605,17144,6.083333333,171.7333333,531 S,A24,A24,1,1,NULL,NULL,NULL,0,44,500 lb GP (GP-M43/M64),NULL,11,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,fffcedbb,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffff36e7,NULL,NULL,NULL,NULL,NULL
31208,26500,PTO,00:00.0,3,1,1944,7 AF,USA,NULL,MARSHALL ISLANDS,MILLI ISLAND ,GROUND INSTALLATION ,NULL,NULL,NULL,605,17144,6.083333333,171.7333333,531 S,A24,A24,1,1,NULL,24,20,2000,20,100 lb GP (GP-M30),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,fffcedbb,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffff36e7,NULL,NULL,NULL,NULL,NULL
