id,Master_Index_Number,Theater,MsnDate,Day,Month,Year,NAF,Country_Flying_Mission,TGT_Country_Code,Country_Name,Location_Name,Target_Type_Description,Target_ID_Code,TGT_Industry_Code,Target_Industry_Description,Source_Lat,Source_Lon,Lat,Lon,Unit_ID,MDS,Aircraft_name,Msn_Type,Target_Priority,Target_priority_Explanation,Attacking_AC,Altitude,Altitude_Feet,Number_of_HE,Type_of_HE,lbs_HE,Tons_of_HE,Number_of_IC,Type_of_IC,lbs_IC,Tons_of_IC,Number_of_Frag,Type_of_FRAG,lbs_Frag,Tons_of_Frag,Total_lbs,TOTAL_TONS,Source_Launch_Base,Source_Launch_Base_Country,Source_Launch_Base_Lat,Source_Launch_Base_Long,Sortie_Dupe,Total_AC_Lost,Total_AC_Damaged,Airborne_AC,Number_of_AC_Dropping_Bombs,Time_over_Target,Sighting_Method_Code,Sighting_Explanation,BDA,Speed,Callsign,Rounds_Ammo,#_Escort_Planes,Type_of_Escort_Planes,Spares_Return_AC,WX_Fail_AC,Mech_Fail_AC,Misc_Fail_AC,Other_Fail_AC,TONS_LOST__JETTISONED,GE_ICON_Color,GE_Color_Code,GE_icon,KML_Date,NAF_Color_Code,Target_Comment,Mission_Comments,Source,Database_Edit_Comments,Speed__MPH_
1053,52685,PTO,00:00.0,30,7,1944,14 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,FORMOSA STRAITS,UNIDENTIFIED TARGET,NULL,NULL,NULL,2500,12000,25,120,308 BG,B24,B24,12,1,NULL,8,4,400,0,500 lb GP (GP-M43/M64),NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ffa4b545,NULL,NULL,NULL,NULL,NULL
1187,2223,PTO,00:00.0,17,2,1945,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,OKAYAMA,AIRDROME,NULL,NULL,NULL,2248,12018,22.8,120.3,2 BS,B24,B24,1,1,NULL,7,125,12500,64,500 lb GP (GP-M43/M64),NULL,16,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1188,3002,PTO,00:00.0,17,2,1945,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,TAKAO,RAILROADS,NULL,NULL,NULL,2238,12017,22.63333333,120.2833333,408 BS,B24,B24,1,1,NULL,7,120,12000,64,500 lb GP (GP-M43/M64),NULL,16,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1189,3001,PTO,00:00.0,17,2,1945,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,TAKAO,RAILROADS,NULL,NULL,NULL,2238,12017,22.63333333,120.2833333,33 BS,B24,B24,1,2,NULL,6,105,10500,56,500 lb GP (GP-M43/M64),NULL,14,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1195,3000,PTO,00:00.0,17,2,1945,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,TAKAO,RAILROADS,NULL,NULL,NULL,2238,12017,22.63333333,120.2833333,19 BS,B24,B24,1,1,NULL,4,115,11500,36,500 lb GP (GP-M43/M64),NULL,9,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1781,2957,PTO,00:00.0,17,2,1945,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,TAKAO,NIPPON ALUMINUM CO,NULL,NULL,NULL,2238,12017,22.63333333,120.2833333,64 BS,B24,B24,2,1,NULL,5,110,11000,NULL,,NULL,NULL,NULL,,NULL,NULL,45,400 lb Frag (20x20 Clusters),NULL,9,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1782,2958,PTO,00:00.0,17,2,1945,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,TAKAO,NIPPON ALUMINUM CO,NULL,NULL,NULL,2238,12017,22.63333333,120.2833333,65 BS,B24,B24,1,1,NULL,4,110,11000,NULL,,NULL,NULL,NULL,,NULL,NULL,46.15384615,260 lb Frag,NULL,6,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1783,2959,PTO,00:00.0,17,2,1945,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,TAKAO,NIPPON ALUMINUM CO,NULL,NULL,NULL,2238,12017,22.63333333,120.2833333,403 BS,B24,B24,1,1,NULL,5,105,10500,NULL,,NULL,NULL,NULL,,NULL,NULL,69.23076923,260 lb Frag,NULL,9,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
2016,2963,PTO,00:00.0,18,2,1945,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,TAKAO,NIPPON ALUMINUM CO,NULL,NULL,NULL,2238,12017,22.63333333,120.2833333,400 BS,B24,B24,1,3,NULL,6,65,6500,36,1000 lb GP (GP-M44/M65),NULL,18,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
2019,2961,PTO,00:00.0,18,2,1945,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,TAKAO,NIPPON ALUMINUM CO,NULL,NULL,NULL,2238,12017,22.63333333,120.2833333,320 BS,B24,B24,1,1,NULL,5,120,12000,30,1000 lb GP (GP-M44/M65),NULL,15,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
