id,Master_Index_Number,Theater,MsnDate,Day,Month,Year,NAF,Country_Flying_Mission,TGT_Country_Code,Country_Name,Location_Name,Target_Type_Description,Target_ID_Code,TGT_Industry_Code,Target_Industry_Description,Source_Lat,Source_Lon,Lat,Lon,Unit_ID,MDS,Aircraft_name,Msn_Type,Target_Priority,Target_priority_Explanation,Attacking_AC,Altitude,Altitude_Feet,Number_of_HE,Type_of_HE,lbs_HE,Tons_of_HE,Number_of_IC,Type_of_IC,lbs_IC,Tons_of_IC,Number_of_Frag,Type_of_FRAG,lbs_Frag,Tons_of_Frag,Total_lbs,TOTAL_TONS,Source_Launch_Base,Source_Launch_Base_Country,Source_Launch_Base_Lat,Source_Launch_Base_Long,Sortie_Dupe,Total_AC_Lost,Total_AC_Damaged,Airborne_AC,Number_of_AC_Dropping_Bombs,Time_over_Target,Sighting_Method_Code,Sighting_Explanation,BDA,Speed,Callsign,Rounds_Ammo,#_Escort_Planes,Type_of_Escort_Planes,Spares_Return_AC,WX_Fail_AC,Mech_Fail_AC,Misc_Fail_AC,Other_Fail_AC,TONS_LOST__JETTISONED,GE_ICON_Color,GE_Color_Code,GE_icon,KML_Date,NAF_Color_Code,Target_Comment,Mission_Comments,Source,Database_Edit_Comments,Speed__MPH_
49604,57008,PTO,00:00.0,27,3,1945,20 AF,USA,NULL,JAPAN MINING,JAP WATERS SHIMONOSEKI M,MISCELLANEOUS TARGET,NULL,NULL,NULL,9999,99999,33.96666667,130.9333333,313 BW,B29,B29,17,1,NULL,NULL,49,4900,227,Torpedoes Misc,NULL,227,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffc2021f,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff000000,NULL,NULL,NULL,NULL,NULL
49619,57007,PTO,00:00.0,27,3,1945,20 AF,USA,NULL,JAPAN MINING,JAP WATERS SHIMONOSEKI M,MISCELLANEOUS TARGET,NULL,NULL,NULL,9999,99999,33.96666667,130.9333333,313 BW,B29,B29,17,1,NULL,NULL,50,5000,48,Torpedoes Misc,NULL,48,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffc2021f,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff000000,NULL,NULL,NULL,NULL,NULL
50068,57005,PTO,00:00.0,27,3,1945,20 AF,USA,NULL,JAPAN MINING,JAP WATERS SHIMONOSEKI M,MISCELLANEOUS TARGET,NULL,NULL,NULL,9999,99999,33.96666667,130.9333333,313 BW,B29,B29,17,1,NULL,32,50,5000,NULL,,NULL,NULL,436.3636364,660 lb Aux Fuel Tank as Incendiary ,288000,144,NULL,,NULL,NULL,NULL,144,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffc2021f,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff000000,NULL,NULL,NULL,NULL,NULL
50069,57006,PTO,00:00.0,27,3,1945,20 AF,USA,NULL,JAPAN MINING,JAP WATERS SHIMONOSEKI M,MISCELLANEOUS TARGET,NULL,NULL,NULL,9999,99999,33.96666667,130.9333333,313 BW,B29,B29,17,1,NULL,65,49,4900,NULL,,NULL,NULL,436.3636364,660 lb Aux Fuel Tank as Incendiary ,288000,144,NULL,,NULL,NULL,NULL,144,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffc2021f,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff000000,NULL,NULL,NULL,NULL,NULL
80164,57026,PTO,00:00.0,12,4,1945,20 AF,USA,NULL,JAPAN MINING,JAP WATERS SHIMONOSEKI M,MISCELLANEOUS TARGET,NULL,NULL,NULL,9999,99999,33.96666667,130.9333333,9 BG,B29,B29,17,1,NULL,NULL,69,6900,24,Torpedoes Misc,NULL,24,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffc2021f,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff000000,NULL,NULL,NULL,NULL,NULL
81369,57025,PTO,00:00.0,12,4,1945,20 AF,USA,NULL,JAPAN MINING,JAP WATERS SHIMONOSEKI M,MISCELLANEOUS TARGET,NULL,NULL,NULL,9999,99999,33.96666667,130.9333333,9 BG,B29,B29,17,1,NULL,5,69,6900,NULL,,NULL,NULL,18.18181818,660 lb Aux Fuel Tank as Incendiary ,12000,6,NULL,,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffc2021f,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff000000,NULL,NULL,NULL,NULL,NULL
118160,57029,PTO,00:00.0,3,5,1945,20 AF,USA,NULL,JAPAN MINING,JAP WATERS SHIMONOSEKI M,MISCELLANEOUS TARGET,NULL,NULL,NULL,9999,99999,33.96666667,130.9333333,313 BW,B29,B29,17,1,NULL,32,48,4800,NULL,,NULL,NULL,636.3636364,660 lb Aux Fuel Tank as Incendiary ,420000,210,NULL,,NULL,NULL,NULL,210,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffc2021f,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff000000,NULL,NULL,NULL,NULL,NULL
118505,57027,PTO,00:00.0,3,5,1945,20 AF,USA,NULL,JAPAN MINING,JAP WATERS SHIMONOSEKI M,MISCELLANEOUS TARGET,NULL,NULL,NULL,9999,99999,33.96666667,130.9333333,313 BW,B29,B29,17,1,NULL,3,58,5800,NULL,,NULL,NULL,42.42424242,660 lb Aux Fuel Tank as Incendiary ,28000,14,NULL,,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffc2021f,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff000000,NULL,NULL,NULL,NULL,NULL
122605,57053,PTO,00:00.0,13,5,1945,20 AF,USA,NULL,JAPAN MINING,JAP WATERS SHIMONOSEKI M,MISCELLANEOUS TARGET,NULL,NULL,NULL,9999,99999,33.96666667,130.9333333,9 BG,B29,B29,17,1,NULL,3,58,5800,18,Torpedoes Misc,NULL,18,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffc2021f,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff000000,NULL,NULL,NULL,NULL,NULL
123463,57056,PTO,00:00.0,16,5,1945,20 AF,USA,NULL,JAPAN MINING,JAP WATERS SHIMONOSEKI M,MISCELLANEOUS TARGET,NULL,NULL,NULL,9999,99999,33.96666667,130.9333333,9 BG,B29,B29,17,1,NULL,2,66,6600,NULL,,NULL,NULL,39.39393939,660 lb Aux Fuel Tank as Incendiary ,26000,13,NULL,,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffc2021f,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff000000,NULL,NULL,NULL,NULL,NULL
