id,Master_Index_Number,Theater,MsnDate,Day,Month,Year,NAF,Country_Flying_Mission,TGT_Country_Code,Country_Name,Location_Name,Target_Type_Description,Target_ID_Code,TGT_Industry_Code,Target_Industry_Description,Source_Lat,Source_Lon,Lat,Lon,Unit_ID,MDS,Aircraft_name,Msn_Type,Target_Priority,Target_priority_Explanation,Attacking_AC,Altitude,Altitude_Feet,Number_of_HE,Type_of_HE,lbs_HE,Tons_of_HE,Number_of_IC,Type_of_IC,lbs_IC,Tons_of_IC,Number_of_Frag,Type_of_FRAG,lbs_Frag,Tons_of_Frag,Total_lbs,TOTAL_TONS,Source_Launch_Base,Source_Launch_Base_Country,Source_Launch_Base_Lat,Source_Launch_Base_Long,Sortie_Dupe,Total_AC_Lost,Total_AC_Damaged,Airborne_AC,Number_of_AC_Dropping_Bombs,Time_over_Target,Sighting_Method_Code,Sighting_Explanation,BDA,Speed,Callsign,Rounds_Ammo,#_Escort_Planes,Type_of_Escort_Planes,Spares_Return_AC,WX_Fail_AC,Mech_Fail_AC,Misc_Fail_AC,Other_Fail_AC,TONS_LOST__JETTISONED,GE_ICON_Color,GE_Color_Code,GE_icon,KML_Date,NAF_Color_Code,Target_Comment,Mission_Comments,Source,Database_Edit_Comments,Speed__MPH_
2080,56619,PTO,00:00.0,18,2,1945,20 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,TORISHIMA,MISCELLANEOUS TARGET,NULL,NULL,NULL,2620,12644,26.33333333,126.7333333,498 BG,B29,B29,1,3,NULL,1,142,14200,NULL,,NULL,NULL,NULL,500 lb Incendiary,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffc2021f,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff000000,NULL,NULL,NULL,NULL,NULL
2083,56620,PTO,00:00.0,18,2,1945,20 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,TORISHIMA,MISCELLANEOUS TARGET,NULL,NULL,NULL,2620,12644,26.33333333,126.7333333,498 BG,B29,B29,1,3,NULL,NULL,142,14200,NULL,,NULL,NULL,13.63636364,440 lb (110x4 Clusters) I-M17,NULL,3,NULL,,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffc2021f,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff000000,NULL,NULL,NULL,NULL,NULL
16066,52712,PTO,00:00.0,14,8,1944,14 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,MAKO,NAVAL BASE,NULL,NULL,NULL,2501,12200,25.01666667,122,373 BS,B24,B24,1,1,NULL,NULL,90,9000,12,500 lb GP (GP-M43/M64),NULL,3,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ffa4b545,NULL,NULL,NULL,NULL,NULL
24099,2080,PTO,00:00.0,10,3,1945,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,MAKO,DOCKS,NULL,NULL,NULL,2501,12200,25.01666667,122,63 BS,B24,B24,10,2,NULL,2,50,5000,12,500 lb GP (GP-M43/M64),NULL,3,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
26465,56605,PTO,00:00.0,12,3,1945,20 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,OKINAWA,UNIDENTIFIED TARGET,NULL,NULL,NULL,2650,12800,26.83333333,128,888,B29,B29,99,1,NULL,1,NULL,0,16,500 lb GP (GP-M43/M64),NULL,4,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffc2021f,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff000000,NULL,NULL,NULL,NULL,NULL
26995,217,PTO,00:00.0,25,8,1944,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,22 55 N 129 3,SHIPPING,NULL,NULL,NULL,2255,12930,22.91666667,129.5,528 BS,B24,B24,12,1,NULL,1,100,NULL,NULL,250 lb GP (GP-M57),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
27680,2092,PTO,00:00.0,13,3,1945,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,MAKO,FUEL TANKS,NULL,NULL,NULL,2501,12200,25.01666667,122,64 BS,B24,B24,1,1,NULL,4,125,12500,32,1000 lb GP (GP-M44/M65),NULL,16,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
28681,2093,PTO,00:00.0,14,3,1945,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,MAKO,FUEL TANKS,NULL,NULL,NULL,2501,12200,25.01666667,122,64 BS,B24,B24,1,1,NULL,6,120,12000,48,1000 lb GP (GP-M44/M65),NULL,24,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
28682,2041,PTO,00:00.0,14,3,1945,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,MAKO,UNIDENTIFIED TARGET,NULL,NULL,NULL,2501,12200,25.01666667,122,319 BS,B24,B24,1,1,NULL,6,120,12000,48,1000 lb GP (GP-M44/M65),NULL,24,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
28684,2078,PTO,00:00.0,14,3,1945,5 AF,USA,NULL,FORMOSA AND RYUKYU ISLANDS,MAKO,DOCKS,NULL,NULL,NULL,2501,12200,25.01666667,122,321 BS,B24,B24,1,1,NULL,5,125,12500,40,1000 lb GP (GP-M44/M65),NULL,20,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
