id,Master_Index_Number,Theater,MsnDate,Day,Month,Year,NAF,Country_Flying_Mission,TGT_Country_Code,Country_Name,Location_Name,Target_Type_Description,Target_ID_Code,TGT_Industry_Code,Target_Industry_Description,Source_Lat,Source_Lon,Lat,Lon,Unit_ID,MDS,Aircraft_name,Msn_Type,Target_Priority,Target_priority_Explanation,Attacking_AC,Altitude,Altitude_Feet,Number_of_HE,Type_of_HE,lbs_HE,Tons_of_HE,Number_of_IC,Type_of_IC,lbs_IC,Tons_of_IC,Number_of_Frag,Type_of_FRAG,lbs_Frag,Tons_of_Frag,Total_lbs,TOTAL_TONS,Source_Launch_Base,Source_Launch_Base_Country,Source_Launch_Base_Lat,Source_Launch_Base_Long,Sortie_Dupe,Total_AC_Lost,Total_AC_Damaged,Airborne_AC,Number_of_AC_Dropping_Bombs,Time_over_Target,Sighting_Method_Code,Sighting_Explanation,BDA,Speed,Callsign,Rounds_Ammo,#_Escort_Planes,Type_of_Escort_Planes,Spares_Return_AC,WX_Fail_AC,Mech_Fail_AC,Misc_Fail_AC,Other_Fail_AC,TONS_LOST__JETTISONED,GE_ICON_Color,GE_Color_Code,GE_icon,KML_Date,NAF_Color_Code,Target_Comment,Mission_Comments,Source,Database_Edit_Comments,Speed__MPH_
123,12743,PTO,00:00.0,28,7,1944,5 AF,USA,NULL,NEW GUINEA,WEWAK,UNIDENTIFIED TARGET,NULL,NULL,NULL,335,14340,-3.583333333,143.6666667,110 FS,P39,P39,10,1,NULL,NULL,NULL,0,NULL,250 lb GP (GP-M57),NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff727d31,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
167,13494,PTO,00:00.0,29,7,1944,5 AF,USA,NULL,NEW GUINEA,YARABOS,UNIDENTIFIED TARGET,NULL,NULL,NULL,332,14333,-3.533333333,143.55,110 FS,P39,P39,10,1,NULL,NULL,NULL,0,8,250 lb GP (GP-M57),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff727d31,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
178,9255,PTO,00:00.0,29,7,1944,5 AF,USA,NULL,NEW GUINEA,KAROEANI BAY,UNIDENTIFIED,NULL,NULL,NULL,215,13410,-2.25,134.1666667,82 FS,P39,P39,1,1,NULL,6,NULL,0,4,500 lb GP (GP-M43/M64),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff727d31,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
179,11411,PTO,00:00.0,29,7,1944,5 AF,USA,NULL,NEW GUINEA,SAOERI,VILLAGE,NULL,NULL,NULL,105,13620,-1.083333333,136.3333333,82 FS,P39,P39,1,1,NULL,4,NULL,0,4,500 lb GP (GP-M43/M64),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff727d31,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1004,8842,PTO,00:00.0,29,7,1944,5 AF,USA,NULL,NEW GUINEA,JOP ISLAND,UNIDENTIFIED TARGET,NULL,NULL,NULL,235,13425,-2.583333333,134.4166667,82 FS,P39,P39,10,1,NULL,2,1,100,NULL,100 lb GP (GP-M30),NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff727d31,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1005,9256,PTO,00:00.0,29,7,1944,5 AF,USA,NULL,NEW GUINEA,KAROEANI BAY,UNIDENTIFIED,NULL,NULL,NULL,215,13410,-2.25,134.1666667,82 FS,P39,P39,1,1,NULL,NULL,NULL,0,NULL,100 lb GP (GP-M30),NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff727d31,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1038,12744,PTO,00:00.0,30,7,1944,5 AF,USA,NULL,NEW GUINEA,WEWAK,UNIDENTIFIED TARGET,NULL,NULL,NULL,335,14340,-3.583333333,143.6666667,110 FS,P39,P39,10,3,NULL,4,1,100,8,250 lb GP (GP-M57),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff727d31,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1039,12745,PTO,00:00.0,30,7,1944,5 AF,USA,NULL,NEW GUINEA,WEWAK,UNIDENTIFIED TARGET,NULL,NULL,NULL,335,14340,-3.583333333,143.6666667,110 FS,P39,P39,10,3,NULL,NULL,NULL,0,8,250 lb GP (GP-M57),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff727d31,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1047,6620,PTO,00:00.0,30,7,1944,5 AF,USA,NULL,NEW GUINEA,BIAK,UNIDENTIFIED TARGET,NULL,NULL,NULL,100,13600,-1,136,82 FS,P39,P39,10,1,NULL,6,NULL,0,4,500 lb GP (GP-M43/M64),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff727d31,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1386,10135,PTO,00:00.0,30,7,1944,5 AF,USA,NULL,NEW GUINEA,MATAPAU,UNIDENTIFIED TARGET,NULL,NULL,NULL,540,14530,-5.666666667,145.5,110 FS,P39,P39,10,3,NULL,4,1,NULL,NULL,,NULL,NULL,4,500 lb aux fuel tank Incendiary,NULL,1,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff727d31,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
