id,Master_Index_Number,Theater,MsnDate,Day,Month,Year,NAF,Country_Flying_Mission,TGT_Country_Code,Country_Name,Location_Name,Target_Type_Description,Target_ID_Code,TGT_Industry_Code,Target_Industry_Description,Source_Lat,Source_Lon,Lat,Lon,Unit_ID,MDS,Aircraft_name,Msn_Type,Target_Priority,Target_priority_Explanation,Attacking_AC,Altitude,Altitude_Feet,Number_of_HE,Type_of_HE,lbs_HE,Tons_of_HE,Number_of_IC,Type_of_IC,lbs_IC,Tons_of_IC,Number_of_Frag,Type_of_FRAG,lbs_Frag,Tons_of_Frag,Total_lbs,TOTAL_TONS,Source_Launch_Base,Source_Launch_Base_Country,Source_Launch_Base_Lat,Source_Launch_Base_Long,Sortie_Dupe,Total_AC_Lost,Total_AC_Damaged,Airborne_AC,Number_of_AC_Dropping_Bombs,Time_over_Target,Sighting_Method_Code,Sighting_Explanation,BDA,Speed,Callsign,Rounds_Ammo,#_Escort_Planes,Type_of_Escort_Planes,Spares_Return_AC,WX_Fail_AC,Mech_Fail_AC,Misc_Fail_AC,Other_Fail_AC,TONS_LOST__JETTISONED,GE_ICON_Color,GE_Color_Code,GE_icon,KML_Date,NAF_Color_Code,Target_Comment,Mission_Comments,Source,Database_Edit_Comments,Speed__MPH_
204,15465,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CABALLO,GUN POSITIONS,NULL,NULL,NULL,1420,12035,14.33333333,120.5833333,9 FS,P38,P38,10,1,NULL,4,15,1500,4,500 lb GP (GP-M43/M64),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff0000,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
206,44797,PTO,00:00.0,16,2,1945,13 AF,USA,NULL,PHILIPPINE ISLANDS,LICUAN,AIDROME,NULL,NULL,NULL,1735,12050,17.58333333,120.8333333,68 FS,P38,P38,1,1,NULL,3,35,3500,4,1000 lb GP (GP-M44/M65),NULL,2,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff0000,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,Pumpkin,NULL,NULL,NULL,NULL,NULL
209,44943,PTO,00:00.0,16,2,1945,13 AF,USA,NULL,PHILIPPINE ISLANDS,MATINA,AIRDROME,NULL,NULL,NULL,705,12535,7.083333333,125.5833333,339 FS,P38,P38,1,1,NULL,2,50,5000,2,1000 lb GP (GP-M44/M65),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff0000,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,Pumpkin,NULL,NULL,NULL,NULL,NULL
210,21448,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,TUGUEGARAO,UNIDENTIFIED TARGET,NULL,NULL,NULL,1740,12145,17.66666667,121.75,547 FS,P61,P61,1,1,NULL,1,NULL,0,0,500 lb GP (GP-M43/M64),NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff999999,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
216,16267,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CORREGIDOR,GUN EMPLACEMENTS,NULL,NULL,NULL,1425,12035,14.41666667,120.5833333,321 BS,B24,B24,1,1,NULL,6,55,5500,NULL,,NULL,NULL,NULL,,NULL,NULL,230.7692308,260 lb Frag,NULL,30,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1142,16231,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CORREGIDOR,GROUND INSTALLATIONS,NULL,NULL,NULL,1425,12035,14.41666667,120.5833333,13 S,A20,A20,10,1,NULL,10,1,64,NULL,250 lb GP (GP-M57),NULL,8,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff9736,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1143,16235,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CORREGIDOR,GROUND INSTALLATIONS,NULL,NULL,NULL,1425,12035,14.41666667,120.5833333,672 S,A20,A20,10,1,NULL,12,1,48,NULL,250 lb GP (GP-M57),NULL,6,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff9736,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1144,15466,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CABALLO,GUN POSITIONS,NULL,NULL,NULL,1420,12035,14.33333333,120.5833333,675 S,A20,A20,10,1,NULL,12,1,48,NULL,250 lb GP (GP-M57),NULL,6,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff9736,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1145,15464,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CABALLO,GUN POSITIONS,NULL,NULL,NULL,1420,12035,14.33333333,120.5833333,8 S,A20,A20,10,1,NULL,10,1,40,NULL,250 lb GP (GP-M57),NULL,5,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff9736,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1146,16226,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CORREGIDOR,INSTALLATIONS,NULL,NULL,NULL,1425,12035,14.41666667,120.5833333,8 S,A20,A20,10,1,NULL,1,1,8,NULL,250 lb GP (GP-M57),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff9736,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1147,16227,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CORREGIDOR,INSTALLATIONS,NULL,NULL,NULL,1425,12035,14.41666667,120.5833333,89 S,A20,A20,10,1,NULL,11,1,64,NULL,250 lb GP (GP-M57),NULL,8,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff9736,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1150,16176,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CORREGIDOR,UNIDENTIFIED TARGET,NULL,NULL,NULL,1425,12035,14.41666667,120.5833333,13 S,A20,A20,10,1,NULL,1,1,8,NULL,250 lb GP (GP-M57),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff9736,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1151,16182,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CORREGIDOR,UNIDENTIFIED TARGET,NULL,NULL,NULL,1425,12035,14.41666667,120.5833333,674 S,A20,A20,10,1,NULL,12,1,48,NULL,250 lb GP (GP-M57),NULL,6,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff9736,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1152,16178,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CORREGIDOR,UNIDENTIFIED TARGET,NULL,NULL,NULL,1425,12035,14.41666667,120.5833333,90 S,A20,A20,10,1,NULL,12,1,48,NULL,250 lb GP (GP-M57),NULL,6,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff9736,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1160,16266,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CORREGIDOR,GUN EMPLACEMENTS,NULL,NULL,NULL,1425,12035,14.41666667,120.5833333,319 BS,B24,B24,1,1,NULL,6,65,6500,NULL,,NULL,NULL,NULL,,NULL,NULL,230.7692308,260 lb Frag,NULL,30,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1161,16268,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CORREGIDOR,GUN EMPLACEMENTS,NULL,NULL,NULL,1425,12035,14.41666667,120.5833333,400 BS,B24,B24,1,1,NULL,6,65,6500,NULL,,NULL,NULL,NULL,,NULL,NULL,230.7692308,260 lb Frag,NULL,30,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1162,16179,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CORREGIDOR,UNIDENTIFIED TARGET,NULL,NULL,NULL,1425,12035,14.41666667,120.5833333,320 BS,B24,B24,1,1,NULL,6,60,6000,NULL,,NULL,NULL,NULL,,NULL,NULL,230.7692308,260 lb Frag,NULL,30,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
