id,Master_Index_Number,Theater,MsnDate,Day,Month,Year,NAF,Country_Flying_Mission,TGT_Country_Code,Country_Name,Location_Name,Target_Type_Description,Target_ID_Code,TGT_Industry_Code,Target_Industry_Description,Source_Lat,Source_Lon,Lat,Lon,Unit_ID,MDS,Aircraft_name,Msn_Type,Target_Priority,Target_priority_Explanation,Attacking_AC,Altitude,Altitude_Feet,Number_of_HE,Type_of_HE,lbs_HE,Tons_of_HE,Number_of_IC,Type_of_IC,lbs_IC,Tons_of_IC,Number_of_Frag,Type_of_FRAG,lbs_Frag,Tons_of_Frag,Total_lbs,TOTAL_TONS,Source_Launch_Base,Source_Launch_Base_Country,Source_Launch_Base_Lat,Source_Launch_Base_Long,Sortie_Dupe,Total_AC_Lost,Total_AC_Damaged,Airborne_AC,Number_of_AC_Dropping_Bombs,Time_over_Target,Sighting_Method_Code,Sighting_Explanation,BDA,Speed,Callsign,Rounds_Ammo,#_Escort_Planes,Type_of_Escort_Planes,Spares_Return_AC,WX_Fail_AC,Mech_Fail_AC,Misc_Fail_AC,Other_Fail_AC,TONS_LOST__JETTISONED,GE_ICON_Color,GE_Color_Code,GE_icon,KML_Date,NAF_Color_Code,Target_Comment,Mission_Comments,Source,Database_Edit_Comments,Speed__MPH_
1072,106435,ETO,00:00.0,30,7,1944,,NULL,7,France,PAS DE CALAIS,NULL,33119,85,V - Weapon Launching Sites  ,5030,220,50.5,2.33,NULL,B26,B26,NULL,NULL,NULL,NULL,127,NULL,NULL,,NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff00ffff,ff00ffff,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,16283,NULL,NULL,NULL,NULL,NULL,NULL
1073,209623,ETO,00:00.0,30,7,1944,,NULL,7,France,PAS DE CALAIS,NULL,33119,85,V - Weapon Launching Sites  ,5030,220,50.5,2.33,NULL,B26,B26,NULL,NULL,NULL,NULL,127,NULL,NULL,,NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff00ffff,ff00ffff,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,16283,NULL,NULL,NULL,NULL,NULL,NULL
1074,209638,ETO,00:00.0,30,7,1944,,NULL,7,France,PAS DE CALAIS,NULL,33119,85,V - Weapon Launching Sites  ,5030,220,50.5,2.33,NULL,B26,B26,NULL,NULL,NULL,NULL,127,NULL,NULL,,NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff00ffff,ff00ffff,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,16283,NULL,NULL,NULL,NULL,NULL,NULL
1093,106436,ETO,00:00.0,30,7,1944,,NULL,7,France,PAS DE CALAIS,NULL,33119,85,V - Weapon Launching Sites  ,5030,220,50.5,2.33,NULL,A20,A20,NULL,NULL,NULL,NULL,125,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,26,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff9900,ffff9736,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,16283,NULL,NULL,NULL,NULL,NULL,NULL
1094,209624,ETO,00:00.0,30,7,1944,,NULL,7,France,PAS DE CALAIS,NULL,33119,85,V - Weapon Launching Sites  ,5030,220,50.5,2.33,NULL,A20,A20,NULL,NULL,NULL,NULL,125,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,26,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff9900,ffff9736,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,16283,NULL,NULL,NULL,NULL,NULL,NULL
1095,209639,ETO,00:00.0,30,7,1944,,NULL,7,France,PAS DE CALAIS,NULL,33119,85,V - Weapon Launching Sites  ,5030,220,50.5,2.33,NULL,A20,A20,NULL,NULL,NULL,NULL,125,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,26,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff9900,ffff9736,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,16283,NULL,NULL,NULL,NULL,NULL,NULL
2847,209749,ETO,00:00.0,1,8,1944,8 AF,USA,7,France,UNKNOWN,V WEAPON LAUNCHING SIT,44333,85,V - Weapon Launching Sites  ,NULL,NULL,NULL,NULL,NULL,GB24,B24,NULL,1,Primary Target,11,214,NULL,NULL,,NULL,23,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,11,NULL,1,Visual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff993399,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,16285,NULL,NULL,NULL,NULL,NULL,NULL
2848,106618,ETO,00:00.0,1,8,1944,8 AF,USA,7,France,UNKNOWN,V WEAPON LAUNCHING SIT,44333,85,V - Weapon Launching Sites  ,NULL,NULL,NULL,NULL,NULL,B24,B24,NULL,1,Primary Target,11,214,NULL,NULL,,NULL,23,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,11,NULL,1,Visual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,16285,NULL,NULL,NULL,NULL,NULL,NULL
2849,209757,ETO,00:00.0,1,8,1944,8 AF,USA,7,France,UNKNOWN,V WEAPON LAUNCHING SIT,44333,85,V - Weapon Launching Sites  ,NULL,NULL,NULL,NULL,NULL,B24,B24,NULL,1,Primary Target,11,214,NULL,NULL,,NULL,23,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,11,NULL,1,Visual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,16285,NULL,NULL,NULL,NULL,NULL,NULL
2850,209751,ETO,00:00.0,1,8,1944,8 AF,USA,7,France,BERTREVILLE,ST OUEN V WEAPON SITE,3805,85,V - Weapon Launching Sites  ,49.769161,0.58151,49.77,0.58,NULL,GB24,B24,NULL,1,Primary Target,13,205,NULL,NULL,,NULL,28,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,13,NULL,1,Visual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff993399,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,16285,NULL,NULL,NULL,NULL,NULL,NULL
